iter	Passed	Remaining
410	4351	4118
411	4360	4106
412	4370	4095
413	4380	4084
414	4389	4072
415	4399	4060
416	4409	4049
417	4418	4038
418	4428	4026
419	4438	4015
420	4447	4004
421	4457	3993
422	4467	3981
423	4477	3970
424	4486	3958
425	4496	3947
426	4506	3936
427	4515	3925
428	4525	3913
429	4534	3902
430	4544	3890
431	4554	3879
432	4563	3868
433	4573	3857
434	4583	3845
435	4593	3834
436	4603	3823
437	4613	3812
438	4622	3801
439	4632	3790
440	4642	3779
441	4652	3767
442	4661	3756
443	4671	3745
444	4681	3734
445	4691	3723
446	4701	3713
447	4711	3701
448	4720	3690
449	4730	3679
450	4740	3668
451	4749	3656
452	4759	3645
453	4768	3634
454	4777	3622
455	4787	3611
456	4796	3600
457	4806	3589
458	4815	3577
459	4825	3566
460	4835	3555
461	4844	3544
462	4855	3533
463	4864	3522
464	4874	3511
465	4884	3500
466	4894	3489
467	4903	3478
468	4913	3467
469	4922	3456
470	4932	3445
471	4941	3434
472	4951	3423
473	4960	3411
474	4970	3400
475	4980	3389
476	4989	3378
477	4999	3367
478	5009	3356
479	5018	3345
480	5028	3334
481	5038	3323
482	5048	3313
483	5057	3302
484	5067	3291
485	5077	3280
486	5087	3269
487	5097	3259
488	5107	3248
489	5116	3236
490	5125	3225
491	5135	3215
492	5145	3203
493	5154	3192
494	5164	3181
495	5173	3170
496	5183	3160
497	5192	3148
498	5201	3137
499	5211	3126
500	5220	3115
501	5230	3105
502	5240	3094
503	5250	3083
504	5260	3073
505	5272	3063
506	5282	3052
507	5292	3042
508	5302	3031
509	5312	3020
510	5323	3010
511	5333	2999
512	5343	2989
513	5353	2978
514	5363	2967
515	5373	2957
516	5382	2946
517	5392	2935
518	5402	2925
519	5412	2914
520	5422	2903
521	5433	2893
522	5442	2882
523	5453	2872
524	5462	2861
525	5473	2851
526	5482	2840
527	5492	2829
528	5501	2818
529	5511	2807
530	5521	2797
531	5530	2786
532	5541	2775
533	5550	2764
534	5560	2754
535	5570	2743
536	5579	2732
537	5589	2722
538	5599	2711
539	5608	2700
540	5618	2689
541	5628	2679
542	5637	2668
543	5647	2657
544	5657	2647
545	5668	2636
546	5677	2626
547	5687	2615
548	5697	2604
549	5707	2594
550	5717	2583
551	5727	2573
552	5737	2562
553	5747	2552
554	5758	2541
555	5768	2531
556	5779	2521
557	5789	2510
558	5799	2500
559	5810	2490
560	5820	2479
561	5831	2469
562	5842	2459
563	5852	2449
564	5862	2438
565	5872	2427
566	5882	2417
567	5892	2406
568	5902	2396
569	5912	2385
570	5922	2375
571	5932	2364
572	5941	2353
573	5951	2343
574	5961	2332
575	5970	2322
576	5980	2311
577	5990	2300
578	6000	2290
579	6010	2279
580	6020	2269
581	6030	2258
582	6040	2248
583	6050	2237
584	6060	2227
585	6069	2216
586	6081	2206
587	6091	2196
588	6101	2185
589	6111	2175
590	6121	2164
591	6130	2154
592	6140	2143
593	6150	2133
594	6160	2122
595	6170	2111
596	6179	2101
597	6189	2090
598	6199	2080
599	6209	2069
600	6219	2059
601	6229	2048
602	6239	2038
603	6249	2028
604	6259	2017
605	6268	2006
606	6278	1996
607	6288	1985
608	6297	1975
609	6306	1964
610	6316	1953
611	6326	1943
612	6336	1932
613	6345	1922
614	6356	1912
615	6366	1901
616	6376	1891
617	6385	1880
618	6395	1870
619	6404	1859
620	6414	1848
621	6423	1838
622	6433	1827
623	6443	1817
624	6453	1806
625	6462	1796
626	6473	1786
627	6482	1775
628	6492	1764
629	6503	1754
630	6518	1745
631	6533	1736
632	6546	1727
633	6556	1716
634	6566	1706
635	6576	1695
636	6586	1685
637	6597	1675
638	6608	1665
639	6619	1654
640	6629	1644
641	6639	1633
642	6649	1623
643	6659	1613
644	6669	1602
645	6679	1592
646	6689	1581
647	6699	1571
648	6708	1560
649	6719	1550
650	6728	1540
651	6739	1529
652	6748	1519
653	6759	1508
654	6769	1498
655	6779	1488
656	6788	1477
657	6798	1467
658	6808	1456
659	6818	1446
660	6828	1435
661	6838	1425
662	6848	1415
663	6858	1404
664	6868	1394
665	6878	1384
666	6888	1373
667	6898	1363
668	6908	1352
669	6918	1342
670	6928	1332
671	6938	1321
672	6948	1311
673	6958	1300
674	6967	1290
675	6977	1279
676	6986	1269
677	6996	1258
678	7006	1248
679	7016	1238
680	7026	1227
681	7036	1217
682	7045	1206
683	7055	1196
684	7065	1186
685	7074	1175
686	7085	1165
687	7095	1155
688	7105	1144
689	7116	1134
690	7125	1124
691	7136	1113
692	7146	1103
693	7157	1093
694	7167	1082
695	7177	1072
696	7188	1062
697	7198	1051
698	7208	1041
699	7219	1031
700	7229	1021
701	7240	1010
702	7250	1000
703	7261	990
704	7271	979
705	7281	969
706	7292	959
707	7302	948
708	7312	938
709	7323	928
710	7333	918
711	7344	907
712	7354	897
713	7365	887
714	7375	876
715	7385	866
716	7396	856
717	7407	845
718	7417	835
719	7427	825
720	7437	814
721	7447	804
722	7457	794
723	7467	783
724	7476	773
725	7487	763
726	7497	752
727	7506	742
728	7516	732
729	7526	721
730	7536	711
731	7546	701
732	7556	690
733	7566	680
734	7576	670
735	7586	659
736	7596	649
737	7607	639
738	7617	628
739	7627	618
740	7637	608
741	7647	597
742	7657	587
743	7666	577
744	7676	566
745	7686	556
746	7695	546
747	7705	535
748	7715	525
749	7724	514
750	7734	504
751	7744	494
752	7754	483
753	7763	473
754	7773	463
755	7783	452
756	7793	442
757	7802	432
758	7812	422
759	7822	411
760	7832	401
761	7842	391
762	7851	380
763	7861	370
764	7870	360
765	7880	349
766	7890	339
767	7899	329
768	7909	318
769	7918	308
770	7928	298
771	7938	287
772	7947	277
773	7957	267
774	7967	257
775	7977	246
776	7987	236
777	7997	226
778	8007	215
779	8017	205
780	8027	195
781	8037	185
782	8047	174
783	8056	164
784	8066	154
785	8076	143
786	8085	133
787	8095	123
788	8105	113
789	8115	102
790	8125	92
791	8135	82
792	8145	71
793	8155	61
794	8164	51
795	8174	41
796	8184	30
797	8194	20
798	8204	10
799	8213	0
