iter	Logloss
0	0.6692428522
1	0.6493140959
2	0.6332069943
3	0.6157384357
4	0.6011751437
5	0.5884626477
6	0.575704787
7	0.5653319328
8	0.5553471579
9	0.546448221
10	0.5382278182
11	0.5306671657
12	0.5238406123
13	0.518009373
14	0.5120923226
15	0.5065711983
16	0.5006954661
17	0.4969423394
18	0.4921024926
19	0.487731461
20	0.482949932
21	0.479703938
22	0.4761938507
23	0.4724092671
24	0.4698302993
25	0.4662713935
26	0.4633993986
27	0.4611107958
28	0.4584388679
29	0.4538921486
30	0.4507789794
31	0.4484581923
32	0.446793579
33	0.444254149
34	0.442437878
35	0.441200986
36	0.4395235164
37	0.4381716807
38	0.434707861
39	0.4318178698
40	0.4269129828
41	0.4256324078
42	0.4235899734
43	0.4214493804
44	0.4186447914
45	0.417004482
46	0.4155046334
47	0.4144293155
48	0.4129976439
49	0.4116189232
50	0.4104362189
51	0.4092821259
52	0.4074534666
53	0.4054836675
54	0.4039651381
55	0.4020001546
56	0.4013866931
57	0.4002761419
58	0.3992810657
59	0.3979234995
60	0.3941721485
61	0.3925808438
62	0.3911277611
63	0.3883145291
64	0.3875614529
65	0.3862072452
66	0.3854140694
67	0.3840581759
68	0.382701798
69	0.3816139534
70	0.3811133225
71	0.3798433208
72	0.3783743455
73	0.3757668213
74	0.3751719276
75	0.3710185895
76	0.370353974
77	0.3688220312
78	0.3666419077
79	0.3636526845
80	0.3630362725
81	0.3623463389
82	0.3617050782
83	0.3609005389
84	0.3604327476
85	0.3592788301
86	0.3573854762
87	0.3559543824
88	0.3547354019
89	0.3524897421
90	0.3520611111
91	0.3510517839
92	0.3502466664
93	0.3497795013
94	0.3493426404
95	0.3474575704
96	0.3461518211
97	0.3450180727
98	0.3444077034
99	0.3419300643
100	0.3414440208
101	0.3392457983
102	0.3372631128
103	0.33668783
104	0.3345268984
105	0.3340792124
106	0.3334148169
107	0.3317296657
108	0.3313619005
109	0.3310688151
110	0.3289502401
111	0.3281495312
112	0.3277733019
113	0.3260857733
114	0.3254378803
115	0.325245163
116	0.3248815363
117	0.3240495961
118	0.3235636173
119	0.3231114329
120	0.3224770662
121	0.3220179898
122	0.3215848929
123	0.3212689653
124	0.3208740345
125	0.3189269031
126	0.3186754224
127	0.3179390947
128	0.3176585386
129	0.31672525
130	0.3163663517
131	0.316150588
132	0.3155053011
133	0.3152693905
134	0.3149959345
135	0.3139170477
136	0.3129661027
137	0.312636284
138	0.311935859
139	0.3105047016
140	0.3101763821
141	0.3097364261
142	0.3093219852
143	0.3085002669
144	0.308220089
145	0.3070576617
146	0.3065108747
147	0.305617988
148	0.3027808024
149	0.3024858655
150	0.3012496159
151	0.3008523706
152	0.2995912486
153	0.2981212041
154	0.2978143
155	0.2970709606
156	0.2966163648
157	0.2962711465
158	0.295817013
159	0.2955481663
160	0.2952360781
161	0.2948012644
162	0.2944559699
163	0.2938565456
164	0.2933541143
165	0.2930925024
166	0.2927242812
167	0.2919662196
168	0.2908809923
169	0.2900897389
170	0.2893380094
171	0.2890064134
172	0.2886799166
173	0.2883875559
174	0.2879500362
175	0.2876454783
176	0.2864769493
177	0.2847464412
178	0.2832019715
179	0.2830153528
180	0.2825789478
181	0.2822966053
182	0.2821148553
183	0.2808018342
184	0.2803918569
185	0.2793178579
186	0.2781197432
187	0.2775536808
188	0.2766354589
189	0.2763493491
190	0.2757817685
191	0.2754326384
192	0.2751626246
193	0.274903982
194	0.2742211492
195	0.2738115076
196	0.273514949
197	0.273167955
198	0.2728643416
199	0.2712045455
200	0.2696223208
201	0.2692202302
202	0.2680062418
203	0.2675851704
204	0.2674017165
205	0.2670592706
206	0.2667641249
207	0.2665340066
208	0.2662985911
209	0.265835095
210	0.2648084847
211	0.2646061219
212	0.2639991125
213	0.2622877268
214	0.2619392349
215	0.2616332489
216	0.2610815458
217	0.2608265191
218	0.2600093798
219	0.2592105047
220	0.2580121916
221	0.2573118594
222	0.2567399823
223	0.2563271042
224	0.2558730949
225	0.2547787242
226	0.2544412108
227	0.2534029434
228	0.2530608312
229	0.2523015047
230	0.251791228
231	0.2511652968
232	0.2508186012
233	0.2501924485
234	0.2487733766
235	0.2485041577
236	0.2482371207
237	0.2478988577
238	0.2476057516
239	0.2473021391
240	0.2470785976
241	0.2465476845
242	0.2462971781
243	0.2460271932
244	0.2457651024
245	0.2453791477
246	0.2446628396
247	0.2444643395
248	0.2439821034
249	0.2437158951
250	0.2435015047
251	0.2425961296
252	0.2423586946
253	0.2419447968
254	0.2417187898
255	0.2415057211
256	0.2409493598
257	0.2407271217
258	0.2404950633
259	0.2402473497
260	0.2391390725
261	0.2388904278
262	0.2383331206
263	0.2375585021
264	0.2372512159
265	0.2369991482
266	0.2367213437
267	0.236367985
268	0.2361719128
269	0.2359112693
270	0.2355305534
271	0.2353022055
272	0.2351238634
273	0.2348711448
274	0.2347043781
275	0.2343675337
276	0.2341211141
277	0.2338489534
278	0.2332991469
279	0.233127033
280	0.2329962878
281	0.2326738588
282	0.2324391905
283	0.2322791148
284	0.231415624
285	0.2311648154
286	0.2309896912
287	0.2308598256
288	0.2305879319
289	0.2303669239
290	0.2300632001
291	0.2298123519
292	0.22965948
293	0.2294238738
294	0.2292264073
295	0.2290038418
296	0.2288460597
297	0.2286457643
298	0.2283679068
299	0.2281475986
300	0.2280333075
301	0.2278995952
302	0.2277063832
303	0.2275731889
304	0.2271891029
305	0.2270025104
306	0.2267796723
307	0.2264572352
308	0.2262616027
309	0.226146461
310	0.2259996855
311	0.2257751091
312	0.2255687492
313	0.2252927421
314	0.2250358919
315	0.2248140353
316	0.2246304837
317	0.2244219038
318	0.2241269747
319	0.2239293166
320	0.2235784756
321	0.2232422964
322	0.222755319
323	0.2225572602
324	0.2224570819
325	0.2221145085
326	0.2218459773
327	0.2216222352
328	0.221236324
329	0.2209452403
330	0.2207943939
331	0.2206843407
332	0.2204298152
333	0.2202036937
334	0.2196431556
335	0.2194228083
336	0.219275006
337	0.2190731726
338	0.2188148559
339	0.2186675859
340	0.2183653828
341	0.2181481238
342	0.2179853235
343	0.2177982524
344	0.2176448245
345	0.2174465833
346	0.2170257797
347	0.2167753076
348	0.2164696265
349	0.2162628233
350	0.2161466729
351	0.2160200795
352	0.215709857
353	0.2155614403
354	0.2152742382
355	0.2147428005
356	0.2144942175
357	0.2140045718
358	0.2139312462
359	0.2138448503
360	0.2136412545
361	0.213459169
362	0.2133188839
363	0.2131811358
364	0.2129862519
365	0.2128202454
366	0.2126764927
367	0.2125083732
368	0.2123337111
369	0.2122079758
370	0.2120717289
371	0.2119101012
372	0.2116950196
373	0.2114998272
374	0.2113473345
375	0.2112060384
376	0.2109627895
377	0.2108462383
378	0.2105543543
379	0.2104809363
380	0.2102680848
381	0.2100940305
382	0.2097705274
383	0.2096438816
384	0.2095373433
385	0.2093837055
386	0.2091528929
